implementation,algorithm_raw,algorithm,algo_row,node_count,after_nodes,runtime_ms,peak_rss_mb,status
Live Haskell,FEAT,FEAT,30.0,131.0,113.0,5260.764,364.03125,saturated
Live Haskell,SBP,SBP,1.0,1.0,1.0,0.584,380.015625,saturated
Live Haskell,SBP,SBP,2.0,30.0,26.0,1459.7279999999998,380.6875,saturated
Live Haskell,SBP,SBP,3.0,28.0,26.0,1738.3029999999999,353.03125,saturated
Live Haskell,SBP,SBP,4.0,10.0,10.0,3.0860000000000003,346.078125,saturated
Live Haskell,SBP,SBP,5.0,31.0,29.0,2843.393,380.671875,saturated
Live Haskell,SBP,SBP,6.0,1.0,1.0,0.5479999999999999,345.921875,saturated
Live Haskell,SBP,SBP,7.0,28.0,24.0,956.167,363.75,saturated
Live Haskell,SBP,SBP,8.0,29.0,27.0,28.261000000000003,346.03125,saturated
Live Haskell,SBP,SBP,9.0,29.0,25.0,482.558,374.078125,saturated
Live Haskell,SBP,SBP,10.0,28.0,28.0,2542.0,355.984375,saturated
Live Haskell,SBP,SBP,11.0,29.0,23.0,1384.493,363.765625,saturated
Live Haskell,SBP,SBP,12.0,29.0,29.0,2427.824,363.96875,saturated
Live Haskell,SBP,SBP,13.0,29.0,27.0,951.736,363.8125,saturated
Live Haskell,SBP,SBP,14.0,26.0,26.0,19.399,346.015625,saturated
Live Haskell,SBP,SBP,15.0,29.0,27.0,966.367,363.84375,saturated
Live Haskell,SBP,SBP,16.0,26.0,26.0,415.525,373.765625,saturated
Live Haskell,SBP,SBP,17.0,29.0,29.0,1562.3590000000002,374.9375,saturated
Live Haskell,SBP,SBP,18.0,27.0,21.0,269.632,363.8125,saturated
Live Haskell,SBP,SBP,19.0,28.0,28.0,11.84,346.046875,saturated
Live Haskell,SBP,SBP,20.0,28.0,22.0,1015.9959999999999,363.78125,saturated
Live Haskell,SBP,SBP,21.0,28.0,28.0,30.039,373.0625,saturated
Live Haskell,SBP,SBP,22.0,31.0,29.0,1406.7959999999998,352.96875,saturated
Live Haskell,SBP,SBP,23.0,29.0,29.0,614.0139999999999,363.84375,saturated
Live Haskell,SBP,SBP,24.0,27.0,25.0,303.818,363.734375,saturated
Live Haskell,SBP,SBP,25.0,29.0,29.0,128.287,363.8125,saturated
Live Haskell,SBP,SBP,26.0,28.0,28.0,23.739,346.0625,saturated
